GPS TOW [s],North,East,Up
123326,2815156.11478652,517396.023417706,5680767.14541072
123327,2815162.75859744,517407.586945458,5680763.03394154
123328,2815169.8746748,517419.119999786,5680758.71339461
123329,2815177.26324922,517430.628122027,5680754.19050137
123330,2815184.80435608,517442.165530168,5680749.60775941
123331,2815192.41377498,517453.681696672,5680744.98788674
123332,2815199.99595854,517465.180710356,5680740.44559385
123333,2815207.54724142,517476.735582441,5680735.91392853
123334,2815215.18049785,517488.232007586,5680731.46858741
123335,2815222.80908795,517499.587705983,5680727.11682636
123336,2815230.4974173,517510.76616121,5680722.78769477
123337,2815238.31236068,517521.737269543,5680718.43496184
123338,2815246.30363701,517532.495261378,5680714.13125319
123339,2815254.35385851,517542.869956422,5680709.90965113
123340,2815262.41446159,517552.819590225,5680705.70531543
123341,2815270.46199156,517562.384044265,5680701.57171415
123342,2815278.40355259,517571.610093851,5680697.45836082
123343,2815286.16505905,517580.492525357,5680693.46189312
123344,2815293.61127156,517588.790268247,5680689.65875021
123345,2815300.59364378,517596.339543173,5680686.09302188
123346,2815306.93621971,517602.998438598,5680682.85694563
123347,2815312.37875459,517608.63379923,5680680.10380842
123348,2815316.94608608,517613.231028798,5680677.80341002
123349,2815320.78816004,517617.036205466,5680675.84883549
123350,2815323.95305016,517620.127228607,5680674.2460106
123351,2815326.4276035,517622.670778789,5680672.89137331
123352,2815328.54618861,517624.708495554,5680671.83922622
123353,2815330.35571863,517626.463861773,5680670.93967998
123354,2815332.11953659,517628.309012246,5680669.88766517
123355,2815334.47813853,517630.551485951,5680668.73638137
123356,2815337.25789422,517633.183647732,5680667.30046152
123357,2815340.54421885,517636.240666505,5680665.66054566
123358,2815344.56624188,517639.905013188,5680663.65637632
123359,2815349.3655236,517644.083189134,5680661.30617866
123360,2815354.66978769,517648.635664749,5680658.66847289
123361,2815360.25290832,517653.405322722,5680655.84105996
123362,2815365.92688547,517658.219788428,5680652.92864925
123364,2815377.59500232,517668.1732737,5680646.98141969
123365,2815383.39270247,517673.262347505,5680644.0637525
123366,2815389.3173695,517678.728179836,5680641.14827958
123367,2815395.3817716,517684.596942417,5680638.02580155
123368,2815401.60147771,517690.686665613,5680634.77792003
123369,2815408.14933894,517696.937353787,5680631.29455407
123370,2815415.20782518,517703.304705651,5680627.50777737
123371,2815422.88049531,517709.706094638,5680623.47001987
123372,2815430.96751285,517716.288983548,5680619.24244606
123373,2815439.38304038,517723.095765016,5680614.90192232
123374,2815448.02156409,517730.11898769,5680610.44323466
123375,2815456.94567444,517737.275038238,5680605.90807515
123376,2815466.18104468,517744.527939503,5680601.4982354
123377,2815475.48922192,517751.549933126,5680597.21982565
123378,2815484.71192841,517758.396814777,5680592.81055008
123379,2815493.77417427,517764.871878034,5680588.45069509
123380,2815502.90036797,517771.055686216,5680584.13856285
123381,2815512.47885676,517776.699035618,5680579.72381358
123382,2815522.48956281,517781.701270157,5680575.20133171
123383,2815532.45768598,517785.937872228,5680570.76008274
123384,2815542.02200458,517789.260496551,5680566.56976367
123385,2815551.46783598,517791.794360205,5680562.53702303
123386,2815560.41743337,517793.969726655,5680558.67877923
123387,2815568.70054528,517796.275109128,5680555.14056297
123388,2815576.768258,517799.293248411,5680551.56751258
123389,2815584.32982645,517803.024145271,5680548.16924402
123390,2815591.04263739,517807.211707291,5680545.03123957
123391,2815597.10340421,517811.675113433,5680542.20994751
123392,2815602.28729346,517816.108620078,5680539.65879121
123393,2815606.44474649,517819.927435895,5680537.62554443
123394,2815609.61936357,517823.01126035,5680536.06885481
123396,2815614.03374844,517827.188294831,5680533.79740753
123397,2815615.73889793,517828.62640597,5680532.89034535
123398,2815617.14167479,517829.709994762,5680532.14852514
123399,2815617.95869816,517830.284965018,5680531.73203113
123400,2815618.21798506,517830.470230617,5680531.583897
123401,2815618.31956089,517830.544599661,5680531.53251058
123402,2815618.39495978,517830.60440387,5680531.48398224
123403,2815618.64843987,517830.777726813,5680531.36400565
123404,2815618.83203451,517830.90826448,5680531.25883317
123405,2815618.85060119,517830.904755408,5680531.26932998
123406,2815618.85804088,517830.907625483,5680531.26668146
123408,2815618.95428131,517830.973204362,5680531.23485655
123409,2815619.38375143,517831.267297683,5680530.9988051
123410,2815620.59617173,517832.018277551,5680530.36653558
123411,2815622.90758656,517833.392600791,5680529.15083806
123412,2815626.40000008,517835.500847518,5680527.28575175
123413,2815630.70445856,517838.429998174,5680524.98246443
123414,2815635.10721736,517842.376652666,5680522.53455579
123415,2815639.13155106,517847.450961008,5680520.10255943
123416,2815642.4063451,517853.526030143,5680517.89205005
123417,2815644.46243612,517860.156774451,5680516.32767971
123418,2815645.04893914,517866.923759078,5680515.30551224
123419,2815644.39347945,517873.403476157,5680515.08508092
123420,2815642.53151644,517879.331978704,5680515.67372468
123421,2815639.48941928,517884.286676492,5680516.83409392
123422,2815635.51035808,517888.19679457,5680518.59251506
123423,2815630.77652784,517891.312298114,5680520.66109124
123424,2815625.48629034,517894.619730366,5680522.85026007
123425,2815619.63417343,517899.095864783,5680525.06918836
123426,2815613.65221447,517905.268383865,5680527.17618377
123427,2815607.71521288,517913.363950881,5680529.15379462
123428,2815601.50424059,517923.11859048,5680530.96908844
123429,2815594.82779167,517934.302464157,5680532.80346462
123430,2815587.5936568,517946.608027095,5680534.63573522
123431,2815580.1047964,517959.692993294,5680536.55594473
123432,2815572.556239,517973.198055294,5680538.90578911
123433,2815565.21027058,517986.831815327,5680541.61841909
123434,2815558.42213272,518000.926851703,5680544.23350183
123435,2815552.35037523,518016.049363636,5680546.48599541
123436,2815546.81550212,518032.373741352,5680548.35753015
123437,2815541.99890788,518049.620279871,5680550.06702016
123438,2815538.06443112,518067.12644506,5680551.63331946
123439,2815534.94596323,518084.581525535,5680552.79470015
123440,2815532.51199154,518101.900559422,5680553.82512073
123441,2815530.8664031,518119.213787257,5680554.51077011
123442,2815529.91699263,518136.601907926,5680554.84526935
123443,2815529.7767688,518153.997981855,5680554.79856961
123444,2815530.29337872,518171.314207461,5680554.43154958
123445,2815531.71107674,518188.403610406,5680553.97037418
123446,2815532.6554334,518205.436812585,5680553.03480221
123447,2815534.27559979,518222.442710843,5680552.11440073
123448,2815536.07158465,518239.42884428,5680551.07198288
123449,2815538.03514847,518256.37507772,5680550.01433278
123450,2815539.97110165,518273.32945264,5680548.89006944
123451,2815541.93194949,518290.303113314,5680547.79790523
123452,2815544.93461514,518330.672751194,5680553.28291434
123453,2815547.00672232,518347.675252605,5680552.15430278
123454,2815549.08814653,518364.690590022,5680551.00426452
123455,2815551.14067066,518381.722236533,5680549.88329646
123456,2815553.14278263,518398.75599462,5680548.80245975
123457,2815555.04364589,518415.777400446,5680547.79128441
123458,2815556.75868578,518432.752659194,5680546.90050598
123459,2815558.05476135,518449.702712215,5680546.21972363
123460,2815558.55078737,518466.587854538,5680545.85489313
123461,2815558.00813657,518483.379663364,5680546.02383193
123462,2815556.44094726,518500.147193475,5680546.60412455
