GPS TOW [s],North,East,Up
123753,2815094.94182241,517289.728863007,5680854.35115929
123754,2815095.61315963,517283.800931363,5680854.48138272
123755,2815097.15345844,517277.989987096,5680854.11138063
123756,2815099.7445567,517272.755529457,5680853.16562896
123757,2815103.60855224,517268.393549331,5680851.57400901
123758,2815108.38657178,517264.939737583,5680849.27850186
123759,2815113.60475154,517261.890335982,5680846.84166355
123760,2815118.93846081,517258.711208684,5680844.26839611
123761,2815124.22119978,517254.842971438,5680841.73296702
123762,2815129.47103509,517250.312271785,5680839.39259675
123763,2815134.73432624,517245.085334537,5680836.83862001
123764,2815140.40215679,517239.001112123,5680834.28555029
123765,2815146.42691573,517231.961460412,5680831.61479713
123766,2815152.75457167,517223.936039822,5680828.87731293
123767,2815159.19294231,517215.016271356,5680826.12855608
123768,2815165.41910771,517205.526261099,5680823.50181244
123769,2815171.19887932,517195.836433362,5680821.10544096
123770,2815176.64329302,517186.408466446,5680818.93533786
123771,2815181.61616231,517177.575359773,5680816.86474511
123772,2815186.2573706,517169.369238927,5680814.95303734
123773,2815190.41262667,517161.678779495,5680813.29551645
123774,2815193.72743051,517154.364909994,5680812.02307728
123775,2815196.35363115,517147.796912859,5680811.10095756
123776,2815198.29449956,517142.301712485,5680810.36501414
123777,2815199.73869745,517138.075726381,5680809.8828013
123778,2815200.74059062,517135.11280643,5680809.51217103
123779,2815201.35612243,517133.352875659,5680809.23982333
123780,2815201.65085702,517132.554200886,5680809.12848255
123781,2815201.78602593,517132.183457002,5680809.05513614
123782,2815201.90407789,517131.86441184,5680808.98395223
123783,2815202.03392785,517131.556961847,5680808.92899534
123784,2815202.19438491,517131.256256222,5680808.96002526
123785,2815202.30108763,517131.0290862,5680808.93155759
123786,2815202.36948165,517130.851411693,5680808.88516465
123787,2815202.5419899,517130.467898208,5680808.80766331
123788,2815203.27073996,517129.209045651,5680808.48056091
123789,2815205.0695124,517127.388473417,5680807.78310116
123790,2815208.06829352,517125.701692453,5680806.40243896
123791,2815212.19757117,517124.565490887,5680804.47708065
123792,2815217.14030172,517124.543650674,5680802.01517188
123793,2815222.60426362,517125.77818686,5680799.07494066
123794,2815228.30227652,517127.664429424,5680795.90812111
123795,2815233.68487988,517129.62544202,5680792.81354368
123796,2815238.06422157,517131.615343586,5680790.23293481
123797,2815241.13785282,517134.004103708,5680788.32915688
123798,2815243.07254467,517136.694835373,5680787.09474335
123799,2815244.1537858,517139.597779142,5680786.31665596
123800,2815244.53493852,517142.937619905,5680785.83779037
123801,2815244.14138449,517146.854213063,5680785.712062
123802,2815243.0975509,517151.374855459,5680785.92551691
123803,2815241.3397083,517156.426100351,5680786.472817
123804,2815239.04611362,517161.851073281,5680787.26855195
123805,2815236.42733922,517167.543087989,5680788.13687241
123806,2815233.67917483,517173.242296057,5680789.09018877
123807,2815231.14356733,517178.428652774,5680790.06987203
123808,2815229.03223653,517182.717703004,5680790.81181687
123809,2815227.33788174,517186.304199817,5680791.35754335
123810,2815226.07930891,517189.332263775,5680791.7604505
123811,2815224.76940567,517191.682764247,5680792.21211845
123812,2815223.16675198,517193.0041249,5680792.94943854
123813,2815221.44890637,517193.162859255,5680793.67545671
123814,2815219.8886794,517192.385036012,5680794.50435058
123815,2815219.03317351,517190.652352016,5680795.24501193
123817,2815219.93316317,517187.309387257,5680795.46485395
123818,2815220.84985743,517186.428102484,5680794.95276075
123819,2815221.57065401,517185.935554567,5680794.58388514
123820,2815221.68303095,517185.853926314,5680794.52564746
123821,2815221.55913617,517185.802755126,5680794.15963531
123822,2815221.54858208,517185.802665831,5680794.13794149
123823,2815221.54914216,517185.802229259,5680794.13785799
123824,2815221.54097118,517185.801160486,5680794.12980178
123825,2815221.54138477,517185.803679325,5680794.12837579
123826,2815221.5339711,517185.801022887,5680794.12108724
123827,2815221.53624388,517185.802828802,5680794.12312783
123828,2815221.54019158,517185.801633986,5680794.13313446
123829,2815221.53643528,517185.807262836,5680794.1287657
123830,2815221.53575208,517185.80777449,5680794.12877488
123831,2815221.53497611,517185.805584976,5680794.13165563
123832,2815221.53634568,517185.809689582,5680794.13500003
123833,2815221.53526772,517185.811461392,5680794.13953528
123834,2815221.52280977,517185.809816724,5680794.1046113
123835,2815221.52155577,517185.811026711,5680794.09722368
123836,2815221.52561998,517185.814563147,5680794.10324796
123837,2815221.52730788,517185.813937112,5680794.10720278
123838,2815221.51876786,517185.81486058,5680794.08743498
123839,2815221.52063315,517185.818038199,5680794.09548783
123840,2815221.51914801,517185.818104012,5680794.08482472
123841,2815221.52306243,517185.819698694,5680794.09231986
123842,2815221.51541265,517185.82098379,5680794.07761873
123843,2815221.51596861,517185.824715511,5680794.07222719
123844,2815221.51557921,517185.826024368,5680794.07159199
123845,2815221.52436043,517185.829756624,5680794.08307701
123846,2815221.5150567,517185.832599044,5680794.05931471
123847,2815221.51420069,517185.838030111,5680794.0594188
123848,2815221.52451216,517185.840798186,5680794.07042041
123849,2815221.50941947,517185.848405747,5680794.05122753
123850,2815221.50889582,517185.851557849,5680794.04455487
123851,2815221.5143425,517185.85646473,5680794.05277713
123852,2815221.5024164,517185.859495653,5680794.02728124
123853,2815221.51537066,517185.866561413,5680794.04890937
123854,2815221.50650473,517185.869269303,5680794.03182883
123855,2815221.51102905,517185.876586312,5680794.05452349
123856,2815221.51636503,517185.885835961,5680794.05946155
123857,2815221.52084035,517185.888044767,5680794.05905458
123858,2815221.51464044,517185.892281998,5680794.05644701
123859,2815221.5153903,517185.896018596,5680794.05834577
123860,2815221.51606199,517185.900248497,5680794.05316731
123861,2815221.50429973,517185.904812225,5680794.03822217
123862,2815221.51326614,517185.909864965,5680794.04442808
123863,2815221.50604033,517185.915842988,5680794.03028359
123864,2815221.51037105,517185.92161819,5680794.03493442
123865,2815221.50718854,517185.924283222,5680794.02957978
123866,2815221.5085904,517185.931704717,5680794.02503655
123867,2815221.50850724,517185.933423417,5680794.02451712
123868,2815221.506871,517185.940061447,5680794.01663865
123869,2815221.50792097,517185.94394328,5680794.01337429
123870,2815221.50573944,517185.950866386,5680794.00942836
123871,2815221.51294262,517185.95841551,5680794.01905479
123872,2815221.50723437,517185.961769209,5680794.00524247
123873,2815221.51064114,517185.969610475,5680794.00461503
123874,2815221.49882554,517185.969517342,5680793.97647799
123875,2815221.4946945,517185.974183293,5680793.96348881
123876,2815221.49418456,517185.981012367,5680793.96519359
123877,2815221.4898644,517185.979290581,5680793.95501794
123878,2815221.50305996,517185.978912618,5680793.97168726
123879,2815221.49091556,517185.978641575,5680793.96003354
123880,2815221.48985511,517185.975207063,5680793.95938045
123881,2815221.49428768,517185.977190813,5680793.97043735
