satelite_id,Datetime,a0,a1,a2,IODE,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Codes on L2 channel,GPS Week,L2 P,SV accurracy,SV health,TGD,IODC,t_tm,Fit Interval
G20,2023-12-11 15:59:44,0.0003971736878157,-1.932676241267e-12,0.0,3.0,-115.78124999999999,4.269106396846001e-09,2.421427293252,-6.008893251419e-06,0.0040727601153780005,1.0544434189800002e-05,5153.678550719999,143984.0,-7.078051567078001e-08,-0.3804849694576,-5.774199962616e-08,0.9517675271778,169.5625,-2.726787206135,-7.835326372794e-09,1.5464929890690001e-10,1.0,2292.0,0.0,2.0,0.0,-8.381903171539e-09,3.0,140706.0,4.0
G20,2023-12-11 16:00:00,0.00039717461913820005,-1.932676241267e-12,0.0,104.0,-115.78124999999999,4.269106396846001e-09,2.423761150832,-6.008893251419e-06,0.0040727547602729995,1.0544434189800002e-05,5153.678554535,144000.0,-7.078051567078001e-08,-0.3804851069719,-5.774199962616e-08,0.9517675432699001,169.5625,-2.726787371445,-7.835326372794e-09,1.550064566411e-10,1.0,2292.0,0.0,2.0,0.0,-8.381903171539e-09,104.0,136818.0,4.0
G20,2023-12-11 17:59:44,0.0003971601836383,-1.932676241267e-12,0.0,4.0,-118.12499999999999,4.206603793361001e-09,-2.811754661439,-6.113201379776e-06,0.004071602597833001,9.974464774132e-06,5153.680927277,151184.0,-1.6763806343080003e-08,-0.3805411572152,-5.4016709327700004e-08,0.9517688335637001,180.84375,-2.726616011073,-7.791038813753e-09,1.5357782570430002e-10,1.0,2292.0,0.0,2.0,0.0,-8.381903171539e-09,4.0,144018.0,4.0
G20,2023-12-11 20:00:00,0.0003971462137997,-1.932676241267e-12,0.0,5.0,-129.125,4.290893018632e-09,-1.759512685874,-6.619840860366999e-06,0.004072978976183,9.685754776000999e-06,5153.677682877001,158400.0,1.4901161193850002e-08,-0.3805974898017,-7.078051567078001e-08,0.9517699834173,188.25,-2.726348288287,-7.803896492184e-09,1.600066649198e-10,1.0,2292.0,0.0,2.0,0.0,-8.381903171539e-09,5.0,151218.0,4.0
G20,2023-12-11 22:00:00,0.00039713270962240003,-1.932676241267e-12,0.0,33.0,-133.40625,4.350181202508e-09,-0.7091780073106001,-6.880611181258999e-06,0.004072993295267,9.892508387565999e-06,5153.6788311,165600.0,1.2107193469999998e-07,-0.3806534230115,4.656612873077e-08,0.9517704471623001,185.0,-2.726506883236,-7.915686862988001e-09,7.071723137082e-11,1.0,2292.0,0.0,2.0,0.0,-8.381903171539e-09,33.0,158418.0,4.0
G20,2023-12-12 00:00:00,0.0003971187397838,-1.932676241267e-12,0.0,34.0,-133.25,4.395540234751001e-09,0.340877720571,-6.860122084618e-06,0.004071904346347,1.038610935211e-05,5153.67663002,172800.0,5.2154064178470006e-08,-0.3807105353334,1.080334186554e-07,0.9517707982626,175.65625,-2.726384846609,-7.938902115711e-09,5.321650239521999e-11,1.0,2292.0,0.0,2.0,0.0,-8.381903171539e-09,34.0,165618.0,4.0
G21,2023-12-11 00:00:00,0.000141901429743,-1.13686837722e-12,0.0,28.0,-97.46875,4.564475843030001e-09,1.67285491358,-5.04404306412e-06,0.025013867649199998,1.84960663319e-06,5153.74954033,86400.0,3.24100255966e-07,-1.34312210816,1.82539224625e-07,0.9616792214109999,337.0,-0.671395404942,-8.13212444991e-09,-5.7109521698e-10,1.0,2292.0,0.0,2.0,0.0,-1.02445483208e-08,28.0,79206.0,4.0
G21,2023-12-11 02:00:00,0.000141893979162,-1.13686837722e-12,0.0,33.0,-104.0,4.64197907135e-09,2.72304542595,-5.191192030909999e-06,0.025014368118700003,1.6186386346799998e-06,5153.74699593,93600.0,1.0058283805799999e-07,-1.34318179376,5.01051545143e-07,0.961675763073,347.125,-0.6714485395900001,-8.07569352791e-09,-3.26442169055e-10,1.0,2292.0,0.0,2.0,0.0,-1.02445483208e-08,33.0,86405.99999999999,4.0
G21,2023-12-11 04:00:00,0.00014188606292,-1.13686837722e-12,0.0,36.0,-110.84375,4.49518724259e-09,-2.5100254479,-5.19677996635e-06,0.025013912934800004,2.07871198654e-06,5153.747669220001,100800.0,-1.6950070858e-07,-1.34323998864,4.0791928768199993e-07,0.9616742445640001,340.625,-0.671427281927,-7.99819029959e-09,-2.1786621786000004e-10,1.0,2292.0,0.0,2.0,0.0,-1.02445483208e-08,36.0,93606.0,4.0
G21,2023-12-11 06:00:00,0.0001418781466782,-1.136868377216e-12,0.0,52.0,-118.1875,4.759126808163e-09,-1.459960867905,-6.163492798805e-06,0.025015448918569997,3.3285468816759997e-06,5153.743383408,108000.0,-3.818422555923e-07,-1.343301744264,-2.551823854446e-07,0.9616708271872,322.59375,-0.6713521332882001,-8.619644757088e-09,2.3572410456939996e-11,1.0,2292.0,0.0,2.0,0.0,-1.0244548320769999e-08,52.0,100818.00000000001,4.0
