satelite_id,Datetime,a0,a1,a2,IODEC,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,IRN Week,Spare2,User Range accurracy,Health,TGD,Spare3,t_tm
I06,2025-03-25 03:36:00,-0.0001824609935284,0.0,0.0,175.0,-719.8125,-1.6714981960380001e-10,-0.5191674119209,-2.32569873333e-05,0.0019596219062810003,3.654509782791e-06,6493.3977851869995,185760.0,-5.587935447693e-08,-1.254149741994,1.117587089539e-08,0.07397637037276,-104.125,-2.96434680988,1.0657586788410002e-09,6.196686688302e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,185964.0
I06,2025-03-25 03:50:24,-0.0001824605278671,0.0,0.0,176.0,-716.5625,-3.614436270064e-10,-0.4562743283544,-2.314895391464e-05,0.001959313987754,3.7662684917449998e-06,6493.396896362,186624.0,-1.117587089539e-08,-1.254149600091,3.725290298462e-09,0.07397706672177,-107.0,-2.964235389651,1.264338379054e-09,6.200258265644e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,186828.0
I06,2025-03-25 04:05:36,-0.0001824600622058,0.0,0.0,177.0,-711.6875,-4.414469594664e-10,-0.3899500187092,-2.3003667593000002e-05,0.001958649954759,3.99723649025e-06,6493.395105361999,187536.0,1.4901161193850002e-08,-1.254148817429,1.862645149231e-08,0.07397771772031,-113.875,-2.964055531187,1.355770759008e-09,6.171685646908001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,187740.0
I06,2025-03-25 04:20:48,-0.0001824600622058,0.0,0.0,178.0,-706.625,-3.871589838686e-10,-0.3236580234615,-2.2854655981060004e-05,0.0019576426129790003,4.339963197708e-06,6493.392484665,188448.0,2.2351741790770002e-08,-1.254147440824,5.587935447693e-08,0.07397822827872,-124.8125,-2.963843889366,1.3171977237150002e-09,6.121683564121e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,188652.0
I06,2025-03-25 04:36:00,-0.0001824595965445,1.136868377216e-13,0.0,179.0,-702.75,-2.057228548969e-10,-0.25736342714550003,-2.2746622562410002e-05,0.001956350286491,4.779547452927e-06,6493.389223099,189360.0,3.725290298462e-09,-1.254145999849,9.313225746155001e-08,0.07397865106205,-139.1875,-2.963634823743,1.158619689732e-09,6.071681481333e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,189564.0
I06,2025-03-25 04:50:24,-0.0001824595965445,0.0,0.0,180.0,-701.125,5.285934466102e-11,-0.19452744127160002,-2.270191907883e-05,0.001954937237315,5.25638461113e-06,6493.385734558,190224.0,-4.0978193283079996e-08,-1.254144980195,1.192092895508e-07,0.07397900508822,-155.0625,-2.963466901229,9.228955851627e-10,6.035965707914001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,190476.0
I06,2025-03-25 05:05:36,-0.00018245913088320003,0.0,0.0,181.0,-702.0625,3.7144404356390004e-10,-0.12814855454170002,-2.2735446691510002e-05,0.0019533330341799998,5.781650543213e-06,6493.3818225859995,191136.0,-1.0058283805849999e-07,-1.254143534832,1.303851604462e-07,0.07397934302230001,-172.6875,-2.96334191536,6.314548740587e-10,6.028822553230001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,191388.0
I06,2025-03-25 05:20:48,-0.0001824586652219,2.273736754432e-13,0.0,182.0,-705.6875,7.071723137082e-10,-0.06170216145698,-2.2847205400470002e-05,0.001951747806743,6.284564733505e-06,6493.377986908001,192048.0,-1.564621925354e-07,-1.254143469001,1.1548399925229999e-07,0.07397960634755,-189.625,-2.963282952446,3.228705917133e-10,6.043108862598001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,192252.0
I06,2025-03-25 05:36:00,-0.0001824581995606,2.273736754432e-13,0.0,183.0,-711.375,1.0028989176230002e-09,0.004807710569014,-2.3018568754200002e-05,0.001950309495442,6.724148988724e-06,6493.37452507,192960.0,-2.011656761169e-07,-1.2541437294,8.940696716309e-08,0.07397995452205,-204.3125,-2.963287023747,5.1430713724239997e-11,6.082396213359e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,193164.0
I06,2025-03-25 05:50:24,-0.0001824581995606,0.0,0.0,184.0,-717.6875,1.211479034393e-09,0.06786317657942,-2.320855855942e-05,0.001949171535671,7.04824924469e-06,6493.371767044,193824.0,-2.2724270820619997e-07,-1.254144299938,5.960464477539e-08,0.07398032902908,-215.06249999999997,-2.963336574246,-1.3714856993130001e-10,6.128826718805e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,194076.0
