satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,t_tm
C37,2025-03-25 13:00:00,46.2734375,4.4892941399780005e-09,-2.956213642941,2.25193798542e-06,0.0005182940512896,8.475966751574999e-06,5282.631092345,219600.00000000003,-3.445893526077e-08,0.29288018153230005,1.862645149231e-09,0.9462027901499002,182.55078125,-0.2354853731624,-6.976897758653001e-09,4.848416241712e-10,5.0
C37,2025-03-25 13:00:00,46.2734375,4.4892941399780005e-09,-2.956213642941,2.25193798542e-06,0.0005182940512896,8.475966751574999e-06,5282.631092345,219600.00000000003,-3.445893526077e-08,0.29288018153230005,1.862645149231e-09,0.9462027901499002,182.55078125,-0.2354853731624,-6.976897758653001e-09,4.848416241712e-10,5.0
C37,2025-03-25 13:00:00,46.2734375,4.4892941399780005e-09,-2.956213642941,2.25193798542e-06,0.0005182940512896,8.475966751574999e-06,5282.631092345,219600.00000000003,-3.445893526077e-08,0.29288018153230005,1.862645149231e-09,0.9462027901499002,182.55078125,-0.2354853731624,-6.976897758653001e-09,4.848416241712e-10,5.0
C37,2025-03-25 13:00:00,46.2734375,4.4892941399780005e-09,-2.956213642941,2.25193798542e-06,0.0005182940512896,8.475966751574999e-06,5282.631092345,219600.00000000003,-3.445893526077e-08,0.29288018153230005,1.862645149231e-09,0.9462027901499002,182.55078125,-0.2354853731624,-6.976897758653001e-09,4.848416241712e-10,5.0
C37,2025-03-25 13:00:00,46.2734375,4.4892941399780005e-09,-2.956213642941,2.25193798542e-06,0.0005182940512896,8.475966751574999e-06,5282.631092345,219600.00000000003,-3.445893526077e-08,0.29288018153230005,1.862645149231e-09,0.9462027901499002,182.55078125,-0.2354853731624,-6.976897758653001e-09,4.848416241712e-10,219600.00000000003
C37,2025-03-25 14:00:00,45.15625,4.4308988504370005e-09,-2.470205407342,2.213753759861e-06,0.0005172690143809,8.335337042809e-06,5282.632890700999,223200.00000000003,-4.1443854570390005e-08,0.2928550588401,-2.793967723846e-09,0.9462045339482,187.40625,-0.2339285430571,-6.978504968457e-09,4.839487298357e-10,223200.00000000003
C37,2025-03-25 14:00:00,46.8203125,4.465007414052e-09,-2.468101010657,2.2593885660169997e-06,0.0005186207708903,8.514150977135e-06,5282.632164365,223200.00000000003,-2.793967723846e-08,0.29285500836940004,-2.607703208923e-08,0.9462044571450001,180.93359375,-0.23602968913820002,-6.994219908762e-09,4.944848829945001e-10,6.0
C37,2025-03-25 14:00:00,46.8203125,4.465007414052e-09,-2.468101010657,2.2593885660169997e-06,0.0005186207708903,8.514150977135e-06,5282.632164365,223200.00000000003,-2.793967723846e-08,0.29285500836940004,-2.607703208923e-08,0.9462044571450001,180.93359375,-0.23602968913820002,-6.994219908762e-09,4.944848829945001e-10,6.0
C37,2025-03-25 14:00:00,46.8203125,4.465007414052e-09,-2.468101010657,2.2593885660169997e-06,0.0005186207708903,8.514150977135e-06,5282.632164365,223200.00000000003,-2.793967723846e-08,0.29285500836940004,-2.607703208923e-08,0.9462044571450001,180.93359375,-0.23602968913820002,-6.994219908762e-09,4.944848829945001e-10,6.0
C37,2025-03-25 14:00:00,46.8203125,4.465007414052e-09,-2.468101010657,2.2593885660169997e-06,0.0005186207708903,8.514150977135e-06,5282.632164365,223200.00000000003,-2.793967723846e-08,0.29285500836940004,-2.607703208923e-08,0.9462044571450001,180.93359375,-0.23602968913820002,-6.994219908762e-09,4.944848829945001e-10,6.0
