satelite_id,Datetime,a0,a1,a2,X,Vx,ax,Health,Y,Vy,ay,Frequency number,Z,Vz,az,Age of operation
R15,2025-03-25 23:15:00,6.988272070885001e-05,-9.094947017729001e-13,255600.0,17476.19091797,2.120518684387,1.862645149231e-09,0.0,1467.8452148439999,1.395867347717,-9.313225746155e-10,0.0,-18510.86230469,2.109968185425,2.793967723846e-09,0.0
R15,2025-03-25 23:45:00,6.988178938627e-05,-9.094947017729001e-13,257399.99999999997,21007.91748047,1.757431983948,1.862645149231e-09,0.0,3435.384277344,0.7951593399048,-1.862645149231e-09,0.0,-14045.82275391,2.818906784058,1.862645149231e-09,0.0
R16,2025-03-25 00:15:00,3.440212458372e-05,0.0,172800.0,-6208.670410156001,2.661477088928,0.0,0.0,-13028.95605469,1.104905128479,9.313225746155e-10,-1.0,-21016.13574219,-1.474089622498,2.793967723846e-09,0.0
R16,2025-03-25 00:45:00,3.440212458372e-05,0.0,174600.0,-1043.1196289060001,3.033801078796,0.0,0.0,-11326.95654297,0.7602281570435001,9.313225746155e-10,-1.0,-22821.72509766,-0.5191774368286,2.793967723846e-09,0.0
R16,2025-03-25 01:15:00,3.4403055906300005e-05,0.0,176400.0,4538.608398438,3.116927146912,0.0,0.0,-10356.424804690001,0.3089828491211,0.0,-1.0,-22861.37695312,0.4752998352051,2.793967723846e-09,0.0
R16,2025-03-25 01:45:00,3.4403055906300005e-05,0.0,178200.0,9992.036621094,2.892003059387,0.0,0.0,-10214.77392578,-0.1425628662109,0.0,-1.0,-21133.12890625,1.432410240173,2.793967723846e-09,0.0
R16,2025-03-25 02:15:00,3.4403987228870006e-05,9.094947017729001e-13,180000.0,14780.748046879999,2.38672542572,0.0,0.0,-10806.39208984,-0.48933315277100004,-9.313225746155e-10,-1.0,-17771.61474609,2.278291702271,1.862645149231e-09,0.0
R16,2025-03-25 02:45:00,3.440491855145e-05,9.094947017729001e-13,181800.0,18457.27587891,1.670875549316,0.0,0.0,-11861.32470703,-0.6455125808716,-9.313225746155e-10,-1.0,-13037.37744141,2.947804450989,1.862645149231e-09,0.0
R16,2025-03-25 03:15:00,3.440584987402e-05,9.094947017729001e-13,183600.0,20729.60009766,0.8450212478638002,-9.313225746155e-10,0.0,-12983.93554688,-0.5593223571777001,-1.862645149231e-09,-1.0,-7296.567871094,3.389495849609,9.313225746155e-10,0.0
R16,2025-03-25 03:45:00,3.440678119659e-05,9.094947017729001e-13,185400.0,21502.47900391,0.024241447448729997,-9.313225746155e-10,0.0,-13723.349121090001,-0.22210311889650003,-1.862645149231e-09,-1.0,-992.6157226562,3.569497108459,0.0,0.0
R16,2025-03-25 04:15:00,3.4408643841740007e-05,9.094947017729001e-13,187200.0,20886.9765625,-0.6804380416870001,-1.862645149231e-09,0.0,-13653.88818359,0.32980823516850005,-1.862645149231e-09,-1.0,5387.939941406,3.47407913208,0.0,0.0
R16,2025-03-25 04:45:00,3.440957516432e-05,9.094947017729001e-13,189000.0,19176.79638672,-1.179853439331,-1.862645149231e-09,0.0,-12452.09716797,1.020699501038,-9.313225746155e-10,-1.0,11352.85400391,3.11066532135,-9.313225746155e-10,0.0
R16,2025-03-25 05:15:00,3.441050648689e-05,9.094947017729001e-13,190800.0,16795.46728516,-1.420831680298,-1.862645149231e-09,0.0,-9957.505371094,1.747675895691,-9.313225746155e-10,-1.0,16441.95556641,2.50724029541,-1.862645149231e-09,0.0
R16,2025-03-25 05:45:00,3.441143780947e-05,9.094947017729001e-13,192600.0,14223.208496090001,-1.394330024719,-1.862645149231e-09,0.0,-6206.979980469,2.397401809692,0.0,-1.0,20262.44775391,1.710198402405,-1.862645149231e-09,0.0
R16,2025-03-25 06:15:00,3.441236913204e-05,9.094947017729001e-13,194400.0,11915.594726559999,-1.136276245117,-9.313225746155e-10,0.0,-1436.858398438,2.86466217041,0.0,-1.0,22519.062988280002,0.7808227539062,-2.793967723846e-09,0.0
