satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Data source,GAL Week,SISA signal,SV health,BGDa,BGDb,t_tm
E09,2025-03-25 10:50:00,-188.4375,2.9311935245470003e-09,2.065904100832,-8.786097168921999e-06,0.00038070103619250006,7.264316082000999e-06,5440.619680405,211800.0,2.9802322387700004e-08,-1.170591966254,-5.587935447693e-09,0.96949617495,185.09375,-0.4696646340458,-5.602733376334e-09,-1.225051028293e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,212500.0
E09,2025-03-25 11:00:00,-192.03125,2.9144071110400003e-09,2.139877124049,-8.918344974518e-06,0.0003802893916145,7.277354598045e-06,5440.620548248,212400.0,3.3527612686160006e-08,-1.170595309022,-3.725290298462e-09,0.9694961018041002,184.75,-0.46925228425260007,-5.604162007271001e-09,-1.2393373376600002e-10,516.0,2359.0,3.12,0.0,2.3283064365390003e-10,2.3283064365390003e-10,213064.0
E09,2025-03-25 11:00:00,-192.03125,2.9144071110400003e-09,2.139877124049,-8.918344974518e-06,0.0003802893916145,7.277354598045e-06,5440.620548248,212400.0,3.3527612686160006e-08,-1.170595309022,-3.725290298462e-09,0.9694961018041002,184.75,-0.46925228425260007,-5.604162007271001e-09,-1.2393373376600002e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,213099.99999999997
E09,2025-03-25 11:10:00,-195.34375,2.89904932847e-09,2.213965972341,-9.035691618919e-06,0.0003799073165283,7.2680413722989995e-06,5440.621332169,213000.0,3.5390257835390003e-08,-1.17059865179,0.0,0.9694960286582002,184.9375,-0.4689558399959,-5.6059477959420006e-09,-1.253623647028e-10,516.0,2359.0,3.12,0.0,2.3283064365390003e-10,2.3283064365390003e-10,213664.0
E09,2025-03-25 11:10:00,-195.34375,2.89904932847e-09,2.213965972341,-9.035691618919e-06,0.0003799073165283,7.2680413722989995e-06,5440.621332169,213000.0,3.5390257835390003e-08,-1.17059865179,0.0,0.9694960286582002,184.9375,-0.4689558399959,-5.6059477959420006e-09,-1.253623647028e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,213700.0
E09,2025-03-25 11:20:00,-198.0625,2.88547733457e-09,2.288166259881,-9.128823876381e-06,0.00037957692984490004,7.245689630507999e-06,5440.621994018999,213600.0,3.725290298462e-08,-1.17060199602,1.862645149231e-09,0.9694959511235001,185.5625,-0.4687709256878,-5.608090742347e-09,-1.267909956396e-10,516.0,2359.0,3.12,0.0,2.3283064365390003e-10,2.3283064365390003e-10,214264.0
E09,2025-03-25 11:20:00,-198.0625,2.88547733457e-09,2.288166259881,-9.128823876381e-06,0.00037957692984490004,7.245689630507999e-06,5440.621994018999,213600.0,3.725290298462e-08,-1.17060199602,1.862645149231e-09,0.9694959511235001,185.5625,-0.4687709256878,-5.608090742347e-09,-1.267909956396e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,214299.99999999997
E09,2025-03-25 11:30:00,-200.03125000000003,2.874048287076e-09,2.362467541433,-9.192153811455e-06,0.0003793219802901,7.21774995327e-06,5440.622499466001,214200.0,3.725290298462e-08,-1.170605340251,5.587935447693e-09,0.9694958735889,186.34375,-0.4686871077964,-5.6098765310180005e-09,-1.278624688422e-10,516.0,2359.0,3.12,0.0,2.3283064365390003e-10,2.3283064365390003e-10,214864.0
E09,2025-03-25 11:30:00,-200.03125000000003,2.874048287076e-09,2.362467541433,-9.192153811455e-06,0.0003793219802901,7.21774995327e-06,5440.622499466001,214200.0,3.725290298462e-08,-1.170605340251,5.587935447693e-09,0.9694958735889,186.34375,-0.4686871077964,-5.6098765310180005e-09,-1.278624688422e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,214900.0
E09,2025-03-25 11:40:00,-201.1875,2.865476501455e-09,2.436840820499,-9.218230843544e-06,0.0003791588824242,7.1972608566279995e-06,5440.622817992999,214800.0,3.911554813385e-08,-1.170608687408,9.313225746155e-09,0.9694957916655,187.09375,-0.4686753883597001,-5.612019477423e-09,-1.289339420448e-10,516.0,2359.0,3.12,0.0,2.3283064365390003e-10,2.3283064365390003e-10,215464.0
E09,2025-03-25 11:40:00,-201.1875,2.865476501455e-09,2.436840820499,-9.218230843544e-06,0.0003791588824242,7.1972608566279995e-06,5440.622817992999,214800.0,3.911554813385e-08,-1.170608687408,9.313225746155e-09,0.9694957916655,187.09375,-0.4686753883597001,-5.612019477423e-09,-1.289339420448e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,215499.99999999997
E09,2025-03-25 11:50:00,-201.53124999999997,2.860119135442e-09,2.511245255331,-9.212642908096e-06,0.00037909974344070004,7.193535566329999e-06,5440.622932433999,215400.0,3.725290298462e-08,-1.170612038953,1.3038516044620001e-08,0.9694957097421,187.5,-0.4686949300194,-5.6138052660940005e-09,-1.296482575132e-10,516.0,2359.0,3.12,0.0,2.3283064365390003e-10,2.3283064365390003e-10,216064.0
E09,2025-03-25 11:50:00,-201.53124999999997,2.860119135442e-09,2.511245255331,-9.212642908096e-06,0.00037909974344070004,7.193535566329999e-06,5440.622932433999,215400.0,3.725290298462e-08,-1.170612038953,1.3038516044620001e-08,0.9694957097421,187.5,-0.4686949300194,-5.6138052660940005e-09,-1.296482575132e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,216100.0
E09,2025-03-25 12:00:00,-201.15625,2.857619031303e-09,2.585640238249,-9.179115295409999e-06,0.0003791495691985,7.21774995327e-06,5440.622833252,216000.0,3.725290298462e-08,-1.170615393424,1.4901161193850002e-08,0.9694956248928,187.3125,-0.468705116318,-5.615948212499001e-09,-1.303625729816e-10,516.0,2359.0,3.12,0.0,2.3283064365390003e-10,2.3283064365390003e-10,216664.0
E09,2025-03-25 12:00:00,-201.15625,2.857619031303e-09,2.585640238249,-9.179115295409999e-06,0.0003791495691985,7.21774995327e-06,5440.622833252,216000.0,3.725290298462e-08,-1.170615393424,1.4901161193850002e-08,0.9694956248928,187.3125,-0.468705116318,-5.615948212499001e-09,-1.303625729816e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,216699.99999999997
E09,2025-03-25 12:10:00,-200.34375,2.8583333467710002e-09,2.659982746295,-9.128823876381e-06,0.00037930486723780003,7.277354598045e-06,5440.6225223540005,216600.0,3.5390257835390003e-08,-1.170618752284,1.6763806343080003e-08,0.9694955400436,186.375,-0.4686629111314,-5.617376843436001e-09,-1.3071973071580002e-10,516.0,2359.0,3.12,0.0,2.3283064365390003e-10,2.3283064365390003e-10,217264.0
E09,2025-03-25 12:10:00,-200.34375,2.8583333467710002e-09,2.659982746295,-9.128823876381e-06,0.00037930486723780003,7.277354598045e-06,5440.6225223540005,216600.0,3.5390257835390003e-08,-1.170618752284,1.6763806343080003e-08,0.9694955400436,186.375,-0.4686629111314,-5.617376843436001e-09,-1.3071973071580002e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,217300.0
E09,2025-03-25 12:20:00,-199.28125,2.861904924113e-09,2.73423253752,-9.071081876755e-06,0.000379555625841,7.374212145805e-06,5440.622016906999,217200.00000000003,3.3527612686160006e-08,-1.170622111144,1.862645149231e-08,0.9694954566571999,184.59375,-0.4685280651945,-5.618805474373e-09,-1.3107688845000002e-10,516.0,2359.0,3.12,0.0,2.3283064365390003e-10,2.3283064365390003e-10,217864.0
E09,2025-03-25 12:20:00,-199.28125,2.861904924113e-09,2.73423253752,-9.071081876755e-06,0.000379555625841,7.374212145805e-06,5440.622016906999,217200.00000000003,3.3527612686160006e-08,-1.170622111144,1.862645149231e-08,0.9694954566571999,184.59375,-0.4685280651945,-5.618805474373e-09,-1.3107688845000002e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,217899.99999999997
E09,2025-03-25 12:30:00,-198.25,2.867976605595e-09,2.808365238245,-9.018927812576001e-06,0.00037988356780260004,7.506459951401e-06,5440.621339798,217800.0,3.166496753693e-08,-1.170625475856,1.862645149231e-08,0.9694953732709,182.0,-0.4682761726451,-5.619876947575001e-09,-1.3107688845000002e-10,516.0,2359.0,3.12,0.0,2.3283064365390003e-10,2.3283064365390003e-10,218464.0
E09,2025-03-25 12:30:00,-198.25,2.867976605595e-09,2.808365238245,-9.018927812576001e-06,0.00037988356780260004,7.506459951401e-06,5440.621339798,217800.0,3.166496753693e-08,-1.170625475856,1.862645149231e-08,0.9694953732709,182.0,-0.4682761726451,-5.619876947575001e-09,-1.3107688845000002e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,218500.0
E09,2025-03-25 13:30:00,-201.71875,2.9172643729140003e-09,-3.032013624818,-9.186565876007e-06,0.00038204377051440005,8.469447493552999e-06,5440.616281508999,221400.0,3.911554813385e-08,-1.170645721179,2.421438694e-08,0.9694949358584,162.1875,-0.4647747338132,-5.614519581562e-09,-1.3214836165260002e-10,516.0,2359.0,3.12,0.0,2.3283064365390003e-10,2.3283064365390003e-10,222094.0
E09,2025-03-25 13:30:00,-201.71875,2.9172643729140003e-09,-3.032013624818,-9.186565876007e-06,0.00038204377051440005,8.469447493552999e-06,5440.616281508999,221400.0,3.911554813385e-08,-1.170645721179,2.421438694e-08,0.9694949358584,162.1875,-0.4647747338132,-5.614519581562e-09,-1.3214836165260002e-10,258.0,2359.0,3.12,0.0,2.3283064365390003e-10,0.0,222100.0
