satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,t_tm
J02,2025-03-25 15:00:00,7.53125,3.5622912408720004e-09,0.4964576714548001,-4.656612873077e-08,0.07441820378881,-2.294778823853e-06,6493.679481505999,226799.99999999997,-9.387731552124e-07,1.204239699429,-3.632158041e-07,0.6999586785571,233.53125,-1.562045697976,-3.6383658382560003e-09,-3.250135381184e-11,223206.00000000003
J02,2025-03-25 16:00:00,29.40625,2.95440877727e-09,0.7589641129189001,2.682209014893e-07,0.0744172584964,-2.693384885788e-06,6493.676692962999,230399.99999999997,-1.0859221220019999e-06,1.204218201847,-2.289190888405e-06,0.6999632033627,241.25,-1.562051542334,-2.661539435229e-09,3.603721538038e-10,226806.00000000003
J02,2025-03-25 17:00:00,34.875,2.2793806596390003e-09,1.021448203921,2.887099981308e-07,0.07441770250443,-3.2745301723479996e-06,6493.679101944,234000.0,1.398846507072e-06,1.204203667756,-3.34344804287e-06,0.6999694178387,249.375,-1.56203992969,-1.6797128239240002e-09,3.1322733289e-10,230406.00000000003
J02,2025-03-25 18:00:00,28.71875,1.982225424788e-09,1.283899882509,6.332993507385e-08,0.07441841717809,-4.276633262634e-06,6493.686489105,237600.0,3.611668944359e-06,1.204197004164,-1.316890120506e-06,0.6999719325949001,277.3125,-1.562001618791,-1.317554881449e-09,-8.500354073866999e-11,234005.99999999997
J02,2025-03-25 19:00:00,34.21875,2.0672289655270004e-09,1.54632898242,6.705522537231e-08,0.07441822590772,-5.664303898811e-06,6493.697118759,241200.0,3.12365591526e-06,1.204191869322,1.5031546354289999e-06,0.6999694573375,323.15625,-1.561942373535,-1.533278152904e-09,-5.0644966709e-10,237605.99999999997
J02,2025-03-25 20:00:00,55.8125,2.382599244822e-09,1.808764754701,4.7124922275539994e-07,0.07441699004266,-6.8116933107379995e-06,6493.706741333,244800.0,9.797513484955e-07,1.204183609687,2.637505531311e-06,0.6999640547810001,359.3125,-1.561888721015,-2.040442135462e-09,-7.739608100029e-10,241206.0
J02,2025-03-25 21:00:00,66.90625,2.7886875886030003e-09,2.071232736049,7.357448339462e-07,0.07441601622850001,-7.335096597671999e-06,6493.711055756,248400.0,-8.288770914078e-07,1.20417159474,1.983717083931e-06,0.6999583376972001,370.65625,-1.561865744423,-2.5786788408960002e-09,-8.764650797172e-10,244806.0
J02,2025-03-25 22:00:00,48.25,3.279422315388e-09,2.333731718093,4.135072231293e-07,0.07441661658231001,-7.649883627892e-06,6493.709403991999,252000.0,-1.208856701851e-06,1.204155940054,5.587935447692999e-07,0.6999530785067001,376.84375,-1.561871398602,-3.1172727040630003e-09,-7.918186967127e-10,248406.0
J02,2025-03-25 23:00:00,14.90625,3.7262266408680005e-09,2.596242554163,-1.974403858185e-07,0.07441880204715,-8.169561624527e-06,6493.704147339,255600.0,-3.725290298462e-07,1.204137981272,-2.011656761169e-07,0.6999491593492001,398.25,-1.561886645134,-3.5351472530730005e-09,-5.514515415988e-10,252006.0
J03,2025-03-25 00:00:00,545.25,6.039537285256e-10,1.108425476062,1.9008293747900002e-05,0.0743183697341,1.007132232189e-05,6493.356119156,172800.0,1.8570572137829999e-06,2.942063877227,-2.946704626083e-06,0.7048998716233,-186.34375,-1.571283488756,-4.735911555440001e-10,5.360937590283e-10,169206.0
J03,2025-03-25 01:00:00,555.9375,7.575315542299001e-10,1.370997887817,1.9181519746780002e-05,0.07431758847088,1.0667368769650002e-05,6493.346797943001,176400.0,2.896413207054e-06,2.942062187556,-7.282942533493e-07,0.7049008152055001,-222.375,-1.571332249278,-4.893060958486001e-10,1.578637185147e-10,172806.0
J03,2025-03-25 02:00:00,542.75,1.7086426003940002e-09,1.633533780747,1.842714846134e-05,0.07431722444015999,1.0572373867030001e-05,6493.345161437999,180000.0,9.220093488692999e-07,2.942056972253,1.3038516044620001e-08,0.7048923390582,-227.56249999999997,-1.571339135234,-1.6850701899370001e-09,-8.21462788651e-12,176406.0
J03,2025-03-25 03:00:00,548.96875,2.647253125861e-09,1.896032028407,1.808628439903e-05,0.07431600464042,9.750947356223999e-06,6493.351713181,183600.0,2.9802322387700003e-07,2.942042426459,-2.0470470190049997e-06,0.7048832733548,-203.0625,-1.571301321727,-2.987981604284e-09,3.0251260086410003e-10,180006.0
J03,2025-03-25 04:00:00,589.4375,2.7322566666000003e-09,2.158519040856,1.8730759620670004e-05,0.07431376830209001,9.37283039093e-06,6493.3608284,187200.0,2.1941959857939996e-06,2.942028369279,-2.51829624176e-06,0.7048820064678001,-187.90625,-1.57125511546,-3.2747792648440004e-09,6.832427455171e-10,183606.0
J03,2025-03-25 05:00:00,644.375,1.861148952896e-09,2.421012563291,1.984648406506e-05,0.07431116292719,1.000240445137e-05,6493.368034362999,190800.0,1.683831214905e-06,2.942028541904,-3.986060619354e-07,0.7048879386006001,-205.125,-1.571228920448,-2.373670301467e-09,3.603721538038e-10,187206.0
J03,2025-03-25 06:00:00,683.75,1.253623647028e-09,2.683515054876,2.0751729607580002e-05,0.07430829445366001,1.0902062058450001e-05,6493.37446785,194400.0,-3.278255462646e-07,2.942032696591,-3.594905138016e-07,0.7048912594246,-237.84375,-1.571215814165,-1.7532873171690001e-09,-2.6822545838130003e-10,190806.0
J03,2025-03-25 07:00:00,696.3125,1.331841190817e-09,2.946030108539,2.1245330572130004e-05,0.07430609385483,1.170113682747e-05,6493.379587173,198000.0,8.568167686462001e-08,2.942024575933,-4.5448541641239994e-07,0.7048905147993,-259.34375,-1.571206543654,-1.857577375554e-09,-1.975082270104e-10,194406.0
J03,2025-03-25 08:00:00,696.09375,1.4786330195720001e-09,-3.074632201332,2.131797373295e-05,0.07430604659021,1.2382864952090001e-05,6493.379955292,201600.0,3.278255462646e-07,2.942015350771,-5.774199962616e-08,0.7048901856427001,-256.3125,-1.57120466673,-1.905436511936e-09,-4.57161899771e-11,198006.0
J03,2025-03-25 09:00:00,700.96875,1.789360248322e-09,-2.812110549909,2.1133571863170003e-05,0.07430663390551,1.285411417484e-05,6493.379159927,205200.0,1.287087798119e-06,2.942015112316,-8.754432201385e-07,0.7048891308788,-242.59375,-1.571207896853,-2.109016420428e-09,-4.553761111e-10,201606.0
