satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C01,2023-12-11 18:00:00,0.0008805096149440001,3.23296944771e-13,0.0,1.0,231.234375,1.16865582206e-08,-1.90077156699,7.42822885513e-06,0.000438700779341,-2.4466309696400004e-05,6493.44441414,151200.0,7.264316081999999e-08,1.30272570714,1.41561031342e-07,0.0869259822332,743.984375,1.57930055778,-1.04722219244e-08,8.536069847289999e-11,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,151200.0,0.0
C01,2023-12-11 19:00:00,0.0008805108955130001,3.34843264227e-13,0.0,1.0,-192.8125,1.16865582206e-08,-1.63073271833,-6.44940882921e-06,0.000438507413492,-2.57645733654e-05,6493.45240211,154800.0,3.46917659044e-07,1.56483564806,3.39932739735e-08,0.0801618645034,787.96875,1.30975166526,-1.05222240072e-08,-1.56077929844e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,154800.0,0.0
C01,2023-12-11 20:00:00,0.000880512525328,4.0056846728500003e-13,0.0,1.0,-621.890625,1.16865582206e-08,-1.35742536983,-2.0408071577500005e-05,0.000439454335719,-1.9397120922800003e-05,6493.46408844,158400.0,4.5262277126299995e-07,1.85075209084,-4.74974513054e-08,0.0736385928287,597.25,1.01319696998,-1.05925840808e-08,-4.3287517384600004e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,158400.0,0.0
C01,2023-12-11 21:00:00,0.0008805143879730001,4.4231285301099997e-13,0.0,1.0,-885.5,1.16865582206e-08,-1.08679886112,-2.8889160603300004e-05,0.00044120592065200007,-4.60259616375e-06,6493.4737072,162000.0,3.0221417546299997e-07,2.16480778043,-3.0267983675e-08,0.0679337726172,146.484375,0.6912419177550001,-1.0652586580100002e-08,-7.31459039634e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,162000.0,0.0
C01,2023-12-11 22:00:00,0.000880515552126,3.97015753606e-13,0.0,1.0,-775.546875,8.560713730950001e-09,-0.825057773048,-2.5224871933500002e-05,0.000440470175818,1.5010591596400001e-05,6493.47185326,165600.0,1.9511207938199998e-07,2.50775611086,-1.3830140232999998e-07,0.06370701753869999,-457.328125,0.34932299157300006,-7.49602652531e-09,-9.66825986469e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,165600.0,0.0
C01,2023-12-11 23:00:00,0.0008805170655250001,4.06785716223e-13,0.0,1.0,-241.0,2.6965408931800002e-09,-0.566102881212,-7.8366138041e-06,0.0004371311515570001,2.8770416975000004e-05,6493.4630127,169200.0,-8.38190317154e-09,2.87295352495,-2.43540853262e-07,0.061574934397499996,-883.359375,-0.012031523972700001,-1.54935025094e-09,-1.07433046446e-09,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,169200.0,0.0
C02,2023-12-11 00:00:00,0.00024045235477400002,3.4400926551799996e-11,0.0,1.0,431.09374999999994,-6.01453624386e-09,2.62687384681,1.4176592230800002e-05,0.000792020233348,2.4457462132000002e-05,6493.3718585999995,86400.0,-2.2538006305699996e-07,3.1406235201,1.3969838619199999e-08,0.051201317929,-755.171875,1.99775213984,7.007791902660001e-09,-9.67183144203e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,86400.0,0.0
C02,2023-12-11 01:00:00,0.00024057552218399999,3.43094441746e-11,0.0,1.0,860.09375,-1.16865582206e-08,2.88922545449,2.7988571673600003e-05,0.0007915085880090001,4.8303045332399996e-06,6493.3730030100005,90000.0,4.3911859393099997e-07,-2.70107829196,1.18045136333e-06,0.052863839476800005,-153.65625,1.55684929593,1.2676956617599999e-08,-2.90012080167e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,90000.0,0.0
C02,2023-12-11 02:00:00,0.00024069845676400001,3.42188499758e-11,0.0,1.0,686.921875,-1.16865582206e-08,-3.13158239379,2.2308900952300002e-05,0.000794159597717,-1.74134038389e-05,6493.3665638,93600.0,1.65961682796e-06,-2.29786256283,1.39093026519e-06,0.0581967390992,533.9375,1.15416293979,1.2733744697300001e-08,3.79301513716e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,93600.0,0.0
C02,2023-12-11 03:00:00,0.000240820809267,3.4112268565399995e-11,0.0,1.0,145.046875,-1.16865582206e-08,-2.87057523562,4.77628782392e-06,0.000798502238467,-2.8427224606300004e-05,6493.35563469,97200.0,1.3937242329099998e-06,-1.94970120282,5.071051418779999e-07,0.0660175050026,875.6562499999999,0.80785096571,1.28223198154e-08,4.71091051405e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,97200.0,0.0
