satelite_id,Datetime,a0,a1,a2,X,Vx,ax,Health,Y,Vy,ay,Frequency number,Z,Vz,az,Age of operation
R15,2023-12-11 07:15:00,8.404348045588e-05,-9.094947017729001e-13,111600.00000000001,17464.42041016,2.124881744385,9.313225746155e-10,0.0,1414.204589844,1.392491340637,4.6566128730770005e-09,0.0,-18524.9296875,2.107665061951,-0.0,0.0
R15,2023-12-11 07:45:00,8.404254913330001e-05,-0.0,113399.99999999999,21003.434570309997,1.761140823364,1.862645149231e-09,0.0,3376.3671875,0.7926158905029,4.6566128730770005e-09,0.0,-14063.34765625,2.817401885986,-9.313225746155e-10,0.0
R15,2023-12-11 08:15:00,8.404161781073001e-05,-0.0,115199.99999999999,23651.12353516,1.143137931824,2.793967723846e-09,0.0,4316.921386719,0.2742862701416,4.6566128730770005e-09,0.0,-8513.523925780999,3.308976173401,-1.862645149231e-09,0.0
R15,2023-12-11 08:45:00,8.404161781073001e-05,-0.0,117000.0,25008.12255859,0.3418188095093,3.725290298462e-09,0.0,4466.952636719,-0.07324600219727001,2.793967723846e-09,0.0,-2305.092773438,3.544456481934,-2.793967723846e-09,0.0
R15,2023-12-11 09:15:00,8.404068648815e-05,-0.0,118800.0,24832.12011719,-0.5416049957275,2.793967723846e-09,0.0,4190.260253906,-0.19384765625,1.862645149231e-09,0.0,4081.6127929689997,3.505807876587,-3.725290298462e-09,0.0
R15,2023-12-11 09:45:00,8.404068648815e-05,-0.0,120600.0,23078.360839840003,-1.391817092896,1.862645149231e-09,0.0,3914.42578125,-0.07375621795654,9.313225746155e-10,0.0,10152.84130859,3.196241378784,-3.725290298462e-09,0.0
R15,2023-12-11 10:15:00,8.403975516558001e-05,-0.0,122400.0,19908.51708984,-2.097882270813,9.313225746155e-10,0.0,4051.5302734379998,0.256326675415,-0.0,0.0,15439.634765629999,2.639902114868,-3.725290298462e-09,0.0
R15,2023-12-11 10:45:00,8.403975516558001e-05,0.0,124200.0,15666.50927734,-2.570970535278,0.0,0.0,4921.885253906,0.7266244888306,0.0,0.0,19533.98583984,1.879916191101,-2.793967723846e-09,0.0
R15,2023-12-11 11:15:00,8.4038823843e-05,0.0,126000.0,10825.310058590001,-2.75841999054,-9.313225746155e-10,0.0,6693.568847656,1.240210533142,-9.313225746155e-10,0.0,22120.15332031,0.9750041961670001,-1.862645149231e-09,0.0
R15,2023-12-11 11:45:00,8.4038823843e-05,0.0,127800.0,5913.541992187999,-2.651828765869,-2.793967723846e-09,0.0,9347.895019531,1.689476966858,0.0,0.0,22998.795410159997,-0.005056381225586,-1.862645149231e-09,0.0
